transaction_id,customer_id,transaction_amount,transaction_type,transaction_time,transaction_location,device_type,previous_transactions_count,new_beneficiary,device_changed,iban_valid,weekend,night_transaction,is_fraud
T29,C5191,53700.68,transfer,09:23,Outside EU,desktop,98,0,1,0,0,0,0
T30,C9264,124131.46,withdrawal,00:21,Munich,mobile,25,0,0,1,1,1,0
T31,C1753,191949.52,payment,04:11,Munich,mobile,39,1,0,1,0,1,0
T32,C6424,156601.19,transfer,18:11,Hamburg,mobile,54,0,1,1,0,0,0
T33,C7143,10658.44,deposit,22:36,Outside EU,ATM,10,0,0,0,1,0,0
T34,C1641,79901.93,payment,04:45,Munich,desktop,95,0,1,0,1,1,0
T35,C3852,197743.02,deposit,18:55,Berlin,desktop,61,1,0,0,0,0,1
T36,C2170,35549.29,transfer,15:17,Cologne,mobile,7,0,0,0,1,0,0
T37,C6857,167790.39,transfer,13:50,Hamburg,mobile,78,1,1,1,0,0,0
T38,C4471,47074.73,payment,07:53,Berlin,desktop,52,0,1,0,0,0,0
T39,C9364,84555.03,transfer,03:42,Hamburg,ATM,14,0,1,0,0,1,0
T40,C4071,90307.41,withdrawal,06:07,Frankfurt,ATM,92,1,0,0,0,0,1
T41,C1323,29684.51,transfer,12:28,Hamburg,ATM,1,1,0,1,0,0,0
T42,C7534,9099.17,deposit,09:23,Hamburg,desktop,15,0,1,0,1,0,0
T43,C1247,108726.01,payment,18:16,Hamburg,mobile,55,1,0,0,1,0,1
T44,C2864,181587.7,transfer,09:36,Munich,desktop,51,1,1,0,0,0,1
T45,C8532,132802.2,deposit,00:49,Outside EU,ATM,78,1,1,1,0,1,1
T46,C6802,36061.52,transfer,21:52,Munich,desktop,56,0,0,1,1,0,0
T47,C5633,60372.88,transfer,22:29,Hamburg,desktop,41,0,1,0,1,0,0
T48,C8464,94621.45,deposit,02:11,Hamburg,mobile,85,1,1,0,0,1,1
T49,C3767,93520.45,transfer,14:49,Hamburg,ATM,49,0,1,0,0,0,1
T50,C6248,122369.95,withdrawal,20:09,Cologne,mobile,88,0,0,0,1,0,0
T51,C1033,102731.33,deposit,23:11,Berlin,mobile,80,1,0,0,0,1,1
T52,C3398,684.75,payment,09:03,Outside EU,ATM,86,0,1,0,1,0,0
T53,C9846,52178.76,payment,13:30,Frankfurt,mobile,52,1,1,0,0,0,1
T54,C1898,184562.15,transfer,14:55,Frankfurt,desktop,93,1,1,0,1,0,1
T55,C1851,168581.22,deposit,02:43,Cologne,desktop,42,1,1,0,1,1,1
T56,C9081,125384.39,transfer,08:00,Cologne,ATM,6,0,0,0,0,0,0
T57,C7412,169234.02,transfer,09:25,Munich,mobile,33,0,1,1,0,0,0
T58,C3699,190297.12,withdrawal,22:39,Frankfurt,mobile,3,0,1,1,1,0,0
T59,C8735,131921.93,transfer,01:27,Frankfurt,desktop,17,0,0,1,0,1,0
T60,C1815,50047.27,deposit,08:53,Munich,ATM,11,0,0,1,0,0,0
T61,C6932,75480.67,payment,06:50,Cologne,desktop,76,1,1,0,0,0,1
T62,C4249,85222.53,transfer,19:34,Cologne,mobile,7,1,0,0,1,0,1
T63,C8645,178233.53,payment,12:17,Cologne,mobile,46,0,1,0,1,0,1
T64,C1595,70832.61,transfer,14:28,Hamburg,mobile,41,1,1,1,0,0,0
T65,C6618,27067.95,deposit,17:17,Frankfurt,ATM,68,0,0,0,1,0,0
T66,C9869,167382.31,deposit,01:54,Frankfurt,ATM,64,0,0,1,1,1,0
T67,C6969,112330.22,transfer,06:01,Berlin,desktop,32,0,1,0,1,0,0
T68,C3775,108356.53,deposit,20:32,Hamburg,mobile,45,1,1,0,0,0,1
T69,C9342,3787.64,deposit,07:03,Frankfurt,ATM,57,1,0,0,1,0,1
T70,C8678,56073.54,payment,00:24,Munich,desktop,93,0,1,0,1,1,0
T71,C6871,43783.26,payment,02:20,Hamburg,ATM,45,1,0,0,1,1,1
T72,C1106,2011.23,withdrawal,22:47,Cologne,mobile,73,1,0,1,0,0,0
T73,C2599,27986.18,transfer,03:29,Hamburg,desktop,65,0,1,1,1,1,0
T74,C4677,172863.8,withdrawal,22:05,Munich,mobile,11,1,1,0,1,0,1
T75,C9305,10018.46,withdrawal,09:04,Berlin,mobile,58,0,0,0,0,0,0
T76,C1589,52193.37,transfer,18:25,Hamburg,mobile,29,0,0,1,0,0,0
T77,C7100,40767.92,transfer,01:01,Outside EU,mobile,44,0,0,1,1,1,1
T78,C8933,58984.4,payment,06:14,Hamburg,ATM,97,0,0,0,0,0,0
T79,C7606,10024.44,deposit,00:57,Frankfurt,ATM,82,0,0,0,0,1,0
T80,C7500,173033.4,deposit,17:43,Outside EU,ATM,23,0,0,0,1,0,0
T81,C6742,49646.58,transfer,10:32,Hamburg,desktop,14,0,0,1,0,0,0
T82,C5080,145156.17,transfer,17:46,Frankfurt,ATM,51,1,0,0,0,0,1
T83,C7527,92432.52,withdrawal,17:03,Munich,desktop,91,1,1,1,0,0,1
T84,C5074,70121.25,payment,08:05,Berlin,mobile,97,1,1,1,0,0,0
T85,C4220,103375.1,payment,23:38,Cologne,mobile,95,0,1,0,1,1,0
T86,C9112,132718.16,transfer,01:59,Frankfurt,mobile,86,0,0,1,0,1,0
T87,C3580,150616.74,transfer,02:50,Hamburg,ATM,41,1,1,0,1,1,1
T88,C9039,103659.11,withdrawal,02:03,Cologne,mobile,90,0,1,1,0,1,0
T89,C6255,21725.16,payment,16:07,Cologne,ATM,26,0,1,0,1,0,0
T90,C5006,3414.64,transfer,16:41,Hamburg,mobile,68,0,0,0,1,0,0
T91,C6545,193779.84,payment,15:11,Hamburg,desktop,79,0,0,0,0,0,0
T92,C6608,109885.2,transfer,16:13,Hamburg,desktop,96,0,0,1,0,0,0
T93,C2339,16528.96,withdrawal,21:20,Munich,ATM,90,0,1,1,1,0,0
T94,C3634,144941.33,transfer,14:27,Outside EU,desktop,25,0,0,0,0,0,0
T95,C9607,95650.12,transfer,05:42,Berlin,mobile,74,1,0,1,1,1,0
T96,C6219,108902.97,payment,07:12,Hamburg,mobile,89,0,1,1,1,0,0
T97,C4990,110816.14,deposit,21:03,Berlin,desktop,70,1,1,1,0,0,0
T98,C6247,30318.28,withdrawal,19:05,Munich,ATM,31,1,1,1,0,0,0
T99,C4767,196616.17,deposit,12:51,Frankfurt,ATM,41,0,0,1,1,0,0
T100,C4849,139517.2,deposit,20:38,Berlin,desktop,95,1,0,1,1,0,0
T101,C5879,85737.18,transfer,06:56,Frankfurt,mobile,91,1,0,1,1,0,0
T102,C8408,8011.55,transfer,22:25,Outside EU,desktop,68,0,0,0,0,0,0
T103,C2849,121712.12,deposit,05:17,Cologne,mobile,20,1,1,1,1,1,0
T104,C9279,113611.34,transfer,00:45,Cologne,mobile,83,0,0,1,1,1,0
T105,C7237,138485.66,deposit,08:35,Hamburg,ATM,33,0,1,1,0,0,0
T106,C6559,43033.53,payment,07:16,Berlin,desktop,38,1,0,1,1,0,0
T107,C8664,126558.5,deposit,17:30,Cologne,ATM,55,0,1,0,1,0,0
T108,C9587,100103.42,payment,02:13,Berlin,ATM,1,0,0,0,1,1,0
T109,C2049,129028.52,withdrawal,06:56,Outside EU,ATM,83,0,1,1,1,0,0
T110,C4359,9444.04,deposit,17:45,Munich,mobile,60,1,1,0,1,0,1
T111,C6109,152926.12,deposit,02:13,Munich,ATM,92,1,0,0,1,1,1
T112,C7913,144866.96,payment,05:50,Cologne,ATM,9,0,0,1,1,1,0
T113,C1647,156283.45,transfer,12:11,Outside EU,ATM,3,1,0,1,0,0,0
T114,C2351,67962.7,transfer,10:25,Cologne,mobile,74,0,0,1,1,0,0
T115,C8834,119911.32,deposit,18:49,Munich,desktop,64,1,1,0,0,0,1
T116,C2905,143098.57,payment,05:19,Munich,ATM,79,0,0,1,0,1,0
T117,C7226,196143.99,transfer,15:31,Cologne,ATM,9,1,1,0,1,0,1
T118,C3292,48159.51,deposit,14:33,Frankfurt,mobile,7,1,1,0,1,0,1
T119,C8605,155781.73,payment,17:26,Cologne,mobile,8,1,0,0,1,0,1
T120,C3484,131623.82,transfer,18:38,Hamburg,desktop,78,1,0,0,1,0,1
T121,C5075,170200.48,withdrawal,07:32,Frankfurt,mobile,60,1,0,0,0,0,1
T122,C1802,68083.0,withdrawal,00:27,Hamburg,mobile,97,1,1,1,1,1,0
T123,C4202,10425.29,withdrawal,09:32,Frankfurt,ATM,65,1,0,0,1,0,1
T124,C4748,143193.62,transfer,14:42,Cologne,ATM,30,1,1,0,0,0,1
T125,C6724,121999.54,deposit,04:14,Munich,ATM,65,0,1,0,0,1,0
T126,C3361,106498.91,deposit,21:12,Munich,desktop,3,1,1,0,1,0,1
T127,C3804,252.56,payment,14:56,Munich,mobile,33,0,0,0,1,0,0
T128,C3550,31411.9,withdrawal,03:24,Berlin,mobile,71,1,1,0,0,1,1
T129,C9141,162842.0,payment,17:50,Outside EU,desktop,46,0,1,1,1,0,0
T130,C6741,182414.81,deposit,15:21,Berlin,mobile,13,0,0,0,1,0,0
T131,C6467,63557.43,payment,12:19,Hamburg,desktop,64,0,1,1,1,0,0
T132,C3230,173284.49,payment,17:01,Outside EU,ATM,35,1,1,0,0,0,1
T133,C2587,58685.41,payment,13:58,Munich,desktop,70,1,1,0,1,0,1
T134,C9199,175329.64,transfer,00:04,Outside EU,ATM,84,0,0,0,1,1,1
T135,C1235,144409.12,transfer,17:13,Hamburg,desktop,1,0,0,0,1,0,0
T136,C4614,136642.1,deposit,06:48,Berlin,ATM,31,1,0,0,1,0,1
T137,C4929,71417.98,withdrawal,03:10,Berlin,mobile,72,1,1,0,0,1,1
T138,C9455,78977.72,withdrawal,16:31,Outside EU,desktop,95,0,1,1,1,0,0
T139,C8240,180611.66,deposit,15:09,Outside EU,mobile,36,1,0,0,1,0,1
T140,C6749,192465.11,transfer,22:31,Munich,desktop,62,0,0,0,1,0,0
T141,C4693,8558.89,deposit,09:23,Outside EU,desktop,81,1,1,0,0,0,1
T142,C4435,122700.4,deposit,17:36,Frankfurt,desktop,69,1,1,0,0,0,1
T143,C9343,58101.77,withdrawal,20:50,Outside EU,ATM,75,0,1,1,1,0,0
T144,C9335,187704.91,deposit,08:37,Munich,ATM,89,1,1,0,0,0,1
T145,C3704,180033.2,deposit,23:11,Cologne,ATM,12,1,0,1,1,1,0
T146,C1653,140949.27,withdrawal,11:33,Munich,ATM,96,1,0,1,0,0,0
T147,C7379,145834.95,deposit,07:21,Berlin,mobile,55,1,1,0,0,0,1
T148,C2487,186180.23,deposit,04:31,Outside EU,ATM,53,0,0,1,0,1,1
T149,C2750,65082.81,withdrawal,01:46,Outside EU,desktop,4,1,0,1,1,1,1
T150,C9647,113571.07,deposit,15:17,Berlin,desktop,68,1,1,0,1,0,1
T151,C1232,132410.78,withdrawal,18:21,Berlin,ATM,68,1,0,1,1,0,0
T152,C7822,64365.55,payment,06:44,Berlin,mobile,78,0,1,1,0,0,0
T153,C9456,82005.48,withdrawal,00:10,Outside EU,ATM,68,1,0,1,1,1,1
T154,C7633,60106.2,withdrawal,08:10,Munich,ATM,6,1,0,1,0,0,0
T155,C6303,42056.06,payment,15:30,Cologne,desktop,41,1,0,1,1,0,0
T156,C2124,174544.81,payment,21:19,Outside EU,mobile,30,1,1,0,1,0,1
T157,C8407,44458.34,deposit,06:28,Frankfurt,desktop,86,1,0,0,0,0,1
T158,C4438,102274.01,transfer,17:30,Munich,ATM,88,1,1,0,0,0,1
T159,C9239,47456.26,payment,18:19,Berlin,mobile,96,0,1,0,0,0,1
T160,C9479,196998.63,deposit,02:42,Frankfurt,ATM,16,1,1,0,0,1,1
T161,C3543,179726.29,payment,18:00,Outside EU,desktop,81,0,1,1,1,0,0
T162,C8741,2002.49,deposit,16:26,Outside EU,ATM,10,1,0,1,1,0,0
T163,C3858,59890.64,transfer,18:11,Hamburg,ATM,29,0,0,1,1,0,0
T164,C1427,32434.27,transfer,13:43,Frankfurt,ATM,12,0,0,1,1,0,0
T165,C6438,197013.93,deposit,15:01,Hamburg,ATM,63,0,0,0,0,0,0
T166,C4465,19781.31,transfer,19:39,Hamburg,mobile,0,0,0,0,1,0,0
T167,C7896,36073.46,deposit,08:29,Hamburg,desktop,57,0,0,1,1,0,0
T168,C4259,68983.0,deposit,15:26,Cologne,ATM,25,0,0,0,0,0,0
T169,C8001,118853.58,deposit,05:00,Frankfurt,desktop,78,0,0,1,1,1,0
T170,C4147,49494.97,withdrawal,12:17,Cologne,desktop,76,1,1,1,0,0,0
T171,C6810,176090.51,deposit,03:59,Cologne,mobile,92,1,1,0,1,1,1
T172,C5546,154809.88,withdrawal,19:56,Hamburg,ATM,48,1,0,1,1,0,0
T173,C4849,199720.46,transfer,05:45,Munich,mobile,14,0,1,1,1,1,0
T174,C1906,102.51,transfer,15:50,Frankfurt,ATM,72,1,0,0,1,0,1
T175,C4780,19396.17,payment,12:17,Frankfurt,mobile,84,1,1,1,1,0,0
T176,C4873,138599.71,payment,01:59,Hamburg,desktop,27,1,0,1,0,1,0
T177,C7576,140764.65,deposit,08:44,Outside EU,mobile,34,1,1,1,0,0,0
T178,C5285,38883.67,transfer,17:07,Munich,ATM,78,0,0,1,1,0,0
T179,C6665,103157.78,deposit,00:49,Munich,ATM,21,1,0,1,0,1,0
T180,C8381,88631.34,deposit,22:09,Hamburg,mobile,82,0,1,0,0,0,0
T181,C8688,55763.22,deposit,08:29,Hamburg,mobile,27,1,0,0,1,0,1
T182,C5189,87479.88,withdrawal,09:06,Frankfurt,mobile,31,0,0,1,0,0,0
T183,C3270,29483.62,withdrawal,13:49,Frankfurt,mobile,75,1,0,1,0,0,0
T184,C8913,63353.34,deposit,18:48,Cologne,ATM,40,1,1,0,1,0,1
T185,C3347,23213.65,withdrawal,18:45,Cologne,ATM,14,1,1,1,0,0,0
T186,C9733,153347.45,withdrawal,04:10,Munich,desktop,78,0,1,1,0,1,0
T187,C5264,11756.06,withdrawal,18:10,Frankfurt,ATM,16,0,0,0,0,0,0
T188,C9537,190871.99,transfer,09:46,Munich,ATM,61,1,1,1,0,0,0
T189,C7961,62020.67,withdrawal,14:47,Hamburg,mobile,81,1,1,1,0,0,0
T190,C6537,37576.83,payment,21:26,Cologne,mobile,87,0,0,0,0,0,0
T191,C7865,186853.51,withdrawal,13:12,Berlin,desktop,34,0,1,1,0,0,0
T192,C3006,165174.65,payment,13:57,Cologne,ATM,64,1,1,1,0,0,0
T193,C4474,141401.49,payment,08:21,Munich,desktop,89,0,0,1,0,0,0
T194,C4547,141486.19,transfer,12:20,Outside EU,desktop,53,0,1,0,0,0,0
T195,C6494,117252.32,payment,08:32,Outside EU,ATM,24,1,0,1,1,0,0
T196,C7455,96699.57,withdrawal,02:51,Berlin,desktop,69,1,1,1,0,1,0
T197,C9614,111475.45,payment,11:14,Berlin,desktop,68,0,0,1,1,0,0
T198,C6287,92691.48,transfer,08:33,Cologne,ATM,33,1,1,1,0,0,0
T199,C4155,67723.11,payment,11:08,Cologne,ATM,6,0,1,1,1,0,0
T200,C3727,146754.05,deposit,17:46,Berlin,ATM,11,1,1,1,0,0,0
T201,C7215,83605.34,transfer,08:41,Munich,ATM,74,1,0,0,1,0,1
T202,C8786,70730.07,deposit,11:55,Berlin,desktop,14,1,0,0,0,0,1
T203,C3495,149545.28,transfer,13:29,Berlin,mobile,53,0,0,0,0,0,0
T204,C5524,88921.76,payment,17:16,Munich,mobile,70,0,1,0,1,0,0
T205,C3877,159324.96,transfer,21:26,Berlin,ATM,26,0,1,1,0,0,0
T206,C2109,180891.76,payment,01:36,Frankfurt,mobile,34,1,1,1,0,1,0
T207,C4334,171640.03,transfer,08:38,Berlin,desktop,90,0,0,0,1,0,0
T208,C4383,85973.6,deposit,00:17,Outside EU,mobile,1,1,1,1,0,1,1
T209,C8182,178603.25,deposit,17:23,Outside EU,desktop,45,0,0,0,1,0,0
T210,C1517,97241.72,deposit,15:42,Frankfurt,ATM,11,1,1,0,1,0,1
T211,C4609,62732.18,transfer,03:48,Outside EU,desktop,20,0,1,1,1,1,1
T212,C4553,141559.49,withdrawal,21:19,Berlin,ATM,1,1,0,0,1,0,1
T213,C1561,95590.95,payment,12:15,Frankfurt,ATM,33,0,0,0,0,0,0
T214,C2893,191227.94,transfer,17:04,Munich,mobile,4,0,1,0,0,0,0
T215,C9984,126207.15,transfer,20:01,Munich,desktop,55,0,1,0,1,0,0
T216,C9749,165762.5,transfer,04:21,Cologne,ATM,15,0,0,1,0,1,0
T217,C6560,155546.75,transfer,04:56,Frankfurt,ATM,89,1,1,0,1,1,1
T218,C5584,31918.41,transfer,23:08,Hamburg,mobile,41,0,0,1,0,1,0
T219,C9122,38812.34,transfer,18:42,Cologne,desktop,96,1,0,1,0,0,0
T220,C6709,126739.71,deposit,13:42,Hamburg,ATM,58,0,0,0,0,0,0
T221,C7180,96069.58,transfer,04:49,Berlin,ATM,66,1,1,1,0,1,0
T222,C6242,71331.63,transfer,16:51,Frankfurt,ATM,17,1,0,1,0,0,0
T223,C2772,147740.01,transfer,22:06,Hamburg,mobile,33,1,0,0,0,0,1
T224,C2736,185658.72,withdrawal,06:10,Outside EU,ATM,48,1,1,0,1,0,1
T225,C9887,181957.44,deposit,14:23,Hamburg,desktop,94,0,0,1,1,0,0
T226,C1150,76730.71,deposit,07:17,Berlin,mobile,12,1,1,1,0,0,0
T227,C9457,45939.66,transfer,06:37,Hamburg,desktop,87,1,1,0,0,0,1
T228,C3847,105661.15,withdrawal,09:17,Outside EU,desktop,89,1,1,0,0,0,1
T229,C2752,167148.29,payment,08:52,Munich,mobile,49,0,0,0,0,0,0
T230,C1587,142516.83,transfer,15:52,Hamburg,ATM,30,0,0,0,1,0,0
T231,C7660,3455.7,deposit,23:20,Munich,ATM,76,1,1,0,0,1,1
T232,C6010,70955.75,transfer,23:38,Munich,ATM,33,1,1,0,1,1,1
T233,C1248,95823.31,payment,15:54,Frankfurt,ATM,25,1,1,0,0,0,1
T234,C7333,159580.13,payment,15:10,Cologne,desktop,93,0,1,1,1,0,0
T235,C7390,140482.77,transfer,19:49,Hamburg,mobile,27,0,1,0,0,0,0
T236,C1799,158513.07,withdrawal,22:11,Outside EU,ATM,15,0,1,1,0,0,0
T237,C1033,120835.17,payment,00:10,Frankfurt,mobile,59,1,1,0,1,1,1
T238,C5903,110362.26,withdrawal,17:04,Munich,desktop,90,1,0,1,1,0,0
T239,C9385,133886.51,payment,20:21,Hamburg,desktop,58,1,1,1,0,0,0
T240,C1366,129071.34,transfer,11:18,Munich,ATM,47,1,1,1,0,0,0
T241,C3114,126832.93,payment,23:57,Hamburg,ATM,58,1,1,0,1,1,1
T242,C9722,175870.97,transfer,18:11,Munich,ATM,82,1,0,0,1,0,1
T243,C3875,87626.06,payment,09:29,Hamburg,ATM,33,0,1,0,0,0,0
T244,C7400,40937.04,transfer,11:57,Outside EU,mobile,67,0,1,1,0,0,0
T245,C5680,118010.03,withdrawal,12:45,Cologne,mobile,6,0,1,0,0,0,0
T246,C2272,173329.15,payment,06:22,Munich,mobile,93,0,0,1,0,0,0
T247,C5900,113527.48,deposit,01:14,Berlin,desktop,94,1,0,1,0,1,0
T248,C3647,33724.02,transfer,17:36,Hamburg,desktop,30,1,0,1,1,0,0
T249,C6959,84664.41,transfer,00:47,Cologne,ATM,98,0,0,0,1,1,0
T250,C8960,101248.57,payment,07:13,Hamburg,mobile,51,0,0,0,0,0,0
T251,C2058,145835.94,transfer,22:23,Hamburg,desktop,53,1,0,1,1,0,0
T252,C8061,178291.91,payment,09:05,Hamburg,ATM,44,1,1,0,1,0,1
T253,C9929,182220.14,withdrawal,17:14,Frankfurt,mobile,38,0,1,1,1,0,0
T254,C4737,74417.68,transfer,10:25,Frankfurt,ATM,40,0,1,0,0,0,0
T255,C9538,186507.07,deposit,02:14,Cologne,mobile,19,0,1,0,0,1,0
T256,C4385,74220.82,payment,07:24,Berlin,desktop,92,0,0,0,1,0,0
T257,C3507,9988.4,transfer,04:33,Outside EU,mobile,63,0,1,1,1,1,1
T258,C3078,99965.32,withdrawal,23:05,Frankfurt,desktop,82,1,0,1,1,1,0
T259,C7380,178793.01,payment,15:07,Berlin,desktop,56,1,1,0,0,0,1
T260,C9457,124896.23,payment,22:37,Frankfurt,mobile,70,0,1,0,0,0,0
T261,C5430,117052.84,transfer,00:38,Cologne,ATM,21,0,0,1,1,1,0
T262,C2441,7110.86,transfer,04:47,Hamburg,desktop,81,0,0,0,0,1,0
T263,C6593,4012.87,deposit,03:19,Cologne,ATM,22,0,1,0,0,1,0
T264,C2850,72793.38,payment,21:38,Hamburg,desktop,10,1,1,1,1,0,0
T265,C9793,60306.27,deposit,00:30,Munich,desktop,58,1,0,0,1,1,1
T266,C3248,47424.8,payment,07:09,Outside EU,desktop,75,1,0,1,1,0,0
T267,C9512,182668.08,payment,04:18,Outside EU,mobile,27,0,1,0,0,1,1
T268,C2629,133890.82,deposit,23:11,Frankfurt,ATM,24,1,0,0,0,1,1
T269,C6849,155297.36,deposit,22:49,Frankfurt,desktop,66,1,1,1,0,0,0
T270,C4074,13150.52,transfer,01:30,Outside EU,desktop,1,1,1,0,1,1,1
T271,C3510,166704.69,deposit,08:08,Cologne,mobile,71,0,1,0,0,0,0
T272,C7087,180840.54,payment,04:13,Munich,mobile,61,1,1,0,1,1,1
T273,C1462,85762.68,withdrawal,11:03,Munich,mobile,4,1,0,0,1,0,1
T274,C9601,132442.46,transfer,23:58,Munich,desktop,33,0,1,0,1,1,1
T275,C8125,71138.04,deposit,14:02,Cologne,ATM,49,1,1,0,0,0,1
T276,C6215,160521.23,withdrawal,03:54,Berlin,desktop,77,0,0,0,0,1,1
T277,C3935,64382.15,deposit,06:22,Frankfurt,desktop,50,1,1,0,1,0,1
T278,C4947,142376.02,deposit,21:56,Hamburg,desktop,4,1,0,0,0,0,1
T279,C5565,135081.12,payment,15:17,Hamburg,desktop,19,0,0,0,0,0,0
T280,C4878,112819.75,deposit,15:13,Frankfurt,ATM,80,1,1,1,1,0,0
T281,C2320,163634.76,payment,03:04,Frankfurt,ATM,74,0,1,0,0,1,0
T282,C4710,136663.2,deposit,02:54,Cologne,ATM,33,1,1,0,0,1,1
T283,C1455,97392.18,payment,10:44,Hamburg,desktop,80,1,0,0,1,0,1
T284,C1692,46782.46,deposit,16:06,Berlin,mobile,67,0,1,0,1,0,0
T285,C3517,73588.5,deposit,11:10,Munich,mobile,65,1,0,0,1,0,1
T286,C8135,128984.03,payment,14:05,Munich,mobile,39,0,1,0,1,0,0
T287,C9777,25788.18,deposit,20:58,Berlin,desktop,25,0,0,1,0,0,1
T288,C8012,152673.55,transfer,19:01,Cologne,ATM,3,1,0,0,1,0,1
T289,C1710,168796.06,deposit,01:05,Berlin,ATM,55,1,1,1,0,1,0
T290,C9988,192874.17,transfer,23:35,Munich,desktop,32,1,0,0,1,1,1
T291,C3588,136759.16,withdrawal,01:58,Berlin,desktop,37,1,0,1,0,1,0
T292,C1948,105949.11,withdrawal,10:48,Munich,ATM,21,0,0,1,1,0,0
T293,C5188,94419.72,payment,19:20,Munich,mobile,67,1,0,0,0,0,1
T294,C3369,153945.58,withdrawal,14:10,Hamburg,ATM,16,0,0,0,1,0,0
T295,C4408,29140.88,payment,06:37,Cologne,ATM,80,0,1,1,1,0,0
T296,C9528,3732.03,transfer,11:43,Berlin,ATM,75,0,1,0,1,0,0
T297,C6386,141372.8,deposit,03:31,Munich,desktop,36,1,1,1,0,1,0
T298,C9478,113081.12,payment,22:28,Munich,ATM,15,0,1,1,1,0,0
T299,C7223,197015.8,transfer,09:23,Munich,mobile,54,1,0,0,0,0,1
T300,C5491,199545.32,withdrawal,09:44,Munich,ATM,60,0,0,0,0,0,0
T301,C5272,109291.22,transfer,11:06,Outside EU,mobile,73,1,1,1,1,0,0
T302,C4208,42923.74,withdrawal,04:15,Berlin,desktop,69,0,0,0,1,1,0
T303,C4178,79559.44,transfer,22:03,Cologne,mobile,75,1,0,1,0,0,0
T304,C4048,81969.47,withdrawal,13:40,Frankfurt,ATM,3,1,0,0,0,0,1
T305,C9510,113831.2,deposit,18:56,Berlin,desktop,86,1,0,1,1,0,0
T306,C9230,107999.57,deposit,06:30,Berlin,mobile,84,0,1,1,1,0,0
T307,C3234,119295.23,transfer,02:55,Cologne,ATM,15,0,1,0,0,1,0
T308,C4993,119538.19,transfer,02:20,Hamburg,mobile,75,0,0,0,1,1,0
T309,C5506,5293.58,deposit,16:58,Frankfurt,mobile,49,0,1,1,0,0,0
T310,C8625,30354.68,deposit,19:21,Munich,ATM,67,0,0,0,1,0,0
T311,C5315,196441.74,payment,02:49,Outside EU,desktop,70,0,0,1,1,1,1
T312,C5210,163197.7,transfer,12:34,Munich,desktop,98,1,0,0,0,0,1
T313,C8583,142028.34,deposit,21:21,Cologne,desktop,75,0,0,0,1,0,0
T314,C4208,45262.01,deposit,08:08,Frankfurt,mobile,8,0,1,0,0,0,0
T315,C2932,131026.09,deposit,09:22,Outside EU,mobile,81,0,1,1,1,0,0
T316,C7195,65458.54,withdrawal,06:19,Frankfurt,mobile,67,1,0,1,1,0,0
