transaction_amount,transaction_type,hour,country,device,previous_transactions,new_beneficiary,new_device,foreign_country,weekend,is_fraud
21694.5,Card,17,Netherlands,Mobile,90,1,1,1,1,1
127755.46,SEPA,19,Germany,Tablet,26,0,0,1,0,0
17646.31,Transfer,22,Romania,Desktop,61,1,1,1,0,1
92467.25,Transfer,12,France,Desktop,61,0,1,1,1,1
63240.82,Card,11,Netherlands,Tablet,78,1,0,1,1,1
3796.41,Wire,13,Belgium,Desktop,50,0,1,0,0,0
58512.95,Wire,6,Poland,Tablet,117,0,1,0,1,0
36016.72,Wire,1,Germany,Tablet,65,0,0,0,0,0
146792.83,SEPA,14,Germany,Desktop,7,0,1,1,0,1
54390.6,Transfer,5,Italy,Mobile,7,0,1,0,0,1
74936.94,Wire,19,Belgium,Tablet,101,0,0,1,1,0
78991.91,Card,2,Italy,Mobile,32,0,0,0,1,0
69837.85,SEPA,6,Belgium,Tablet,37,0,1,1,0,1
48788.6,Wire,8,Netherlands,Mobile,51,1,0,0,1,0
132507.09,Card,6,France,Mobile,70,0,1,1,1,1
91076.98,Transfer,5,Austria,Tablet,31,0,1,1,0,1
29823.1,SEPA,6,Poland,Tablet,1,1,1,0,0,0
90554.62,Card,16,Italy,Desktop,114,1,1,1,1,1
92659.84,Card,18,Belgium,Desktop,61,0,0,1,1,0
120755.38,Card,9,Poland,Tablet,15,0,1,1,1,1
149767.4,Wire,10,Belgium,Mobile,1,0,0,0,1,0
125801.48,SEPA,15,Netherlands,Desktop,106,0,1,0,0,0
143728.09,SEPA,7,Austria,Tablet,87,1,0,0,0,0
106455.51,Card,20,Austria,Mobile,80,1,0,0,1,0
133767.62,Transfer,23,Italy,Mobile,97,0,1,1,0,1
105572.98,Wire,17,Italy,Tablet,68,1,1,1,0,1
51395.76,Wire,13,Belgium,Mobile,42,1,0,0,1,0
73442.89,Card,0,France,Desktop,109,1,1,0,1,1
34243.98,Transfer,18,Germany,Mobile,8,1,1,0,0,1
77595.37,Card,9,Poland,Tablet,65,1,0,0,1,0
59951.38,Transfer,1,Germany,Desktop,42,1,0,0,0,1
45089.06,Transfer,3,Belgium,Desktop,21,0,0,1,1,1
13231.2,Card,13,France,Mobile,50,1,0,1,1,0
108363.77,Card,13,France,Tablet,59,1,1,0,1,1
134601.39,Card,3,Belgium,Mobile,68,0,0,0,0,0
56760.55,Transfer,3,Netherlands,Mobile,117,0,1,1,0,1
22975.2,SEPA,11,France,Tablet,73,0,0,1,0,0
23432.53,Transfer,13,Netherlands,Desktop,54,0,1,0,0,0
101883.02,SEPA,7,Poland,Desktop,79,0,1,1,0,1
125233.71,Wire,8,Spain,Desktop,64,0,0,0,0,0
82123.77,Transfer,19,Italy,Mobile,78,0,1,0,0,0
6087.56,SEPA,9,France,Desktop,29,1,1,1,0,1
98102.09,Transfer,2,Belgium,Mobile,65,0,0,1,1,1
92616.02,Transfer,12,Austria,Mobile,19,1,1,1,1,1
37235.12,Wire,14,Romania,Tablet,85,0,0,0,1,0
107136.91,SEPA,14,Belgium,Desktop,71,1,0,0,0,0
129273.7,Wire,17,France,Desktop,82,0,0,0,1,0
117404.54,SEPA,5,Romania,Mobile,43,0,1,1,0,1
130484.76,Wire,22,Netherlands,Mobile,71,0,1,1,0,1
70315.02,Wire,1,Spain,Desktop,71,1,0,1,1,1
95057.98,Transfer,8,Italy,Tablet,115,0,0,0,0,0
88026.16,SEPA,4,Italy,Tablet,84,1,0,1,1,1
50973.53,Card,10,France,Tablet,68,1,1,0,0,1
120433.16,Wire,23,Romania,Desktop,15,0,1,1,0,1
124434.06,Transfer,3,Romania,Desktop,61,0,1,0,1,1
49023.69,Card,21,Belgium,Tablet,68,0,0,1,1,0
56896.41,Wire,5,Germany,Tablet,109,0,1,0,0,1
31410.98,Transfer,16,France,Mobile,101,1,1,1,1,1
130901.16,Wire,12,Poland,Tablet,50,0,0,0,1,0
51424.16,Card,11,Austria,Mobile,37,1,1,0,1,1
20937.83,Transfer,5,France,Mobile,87,0,0,1,0,0
11826.67,Wire,22,Netherlands,Tablet,16,0,0,0,1,0
85541.04,Wire,10,Belgium,Mobile,53,0,0,1,0,0
101474.51,Wire,21,Poland,Tablet,41,0,0,0,1,0
42715.82,Card,13,Romania,Mobile,91,1,1,0,1,1
114211.53,Wire,13,Poland,Mobile,87,0,0,1,1,0
63476.52,Card,16,Belgium,Mobile,66,0,0,0,1,0
28229.09,Wire,3,France,Tablet,79,1,1,0,0,1
149493.64,Transfer,12,Belgium,Desktop,30,1,0,1,1,1
76210.63,Wire,21,Austria,Mobile,34,0,1,1,0,1
11716.55,Wire,23,Belgium,Tablet,6,0,0,1,0,0
75573.16,Transfer,21,Spain,Mobile,6,1,0,1,1,1
32575.54,Transfer,2,Belgium,Desktop,62,0,0,1,0,1
88468.43,Wire,8,Poland,Tablet,78,1,0,0,1,0
135402.81,Transfer,9,Italy,Tablet,102,1,1,0,1,1
11860.04,Card,4,Austria,Desktop,44,0,1,0,0,0
10186.34,Wire,16,France,Desktop,115,1,0,1,0,0
138759.12,Card,6,Belgium,Mobile,29,0,1,1,1,1
88565.88,Transfer,0,Austria,Desktop,103,1,1,1,0,1
93582.64,Wire,23,Italy,Desktop,36,0,1,0,0,0
28163.73,Transfer,16,Spain,Desktop,36,1,0,0,0,0
117442.99,Transfer,16,France,Mobile,113,0,0,1,1,0
22631.75,SEPA,14,Germany,Desktop,39,0,1,0,1,0
64807.33,Card,12,Italy,Mobile,32,1,1,1,1,1
139151.13,Card,4,Romania,Tablet,45,0,0,0,1,0
108424.91,Transfer,23,Netherlands,Mobile,47,0,0,0,1,0
40518.06,SEPA,6,Italy,Tablet,12,1,1,0,0,1
103082.1,Transfer,5,Germany,Tablet,28,0,1,0,0,1
95460.7,Card,17,France,Desktop,61,0,1,1,0,1
21600.79,Wire,8,Poland,Tablet,66,1,1,1,1,1
47370.47,Wire,11,Belgium,Desktop,11,1,0,1,1,1
84403.41,Wire,18,Netherlands,Tablet,29,0,0,1,0,0
121253.41,Card,11,Spain,Tablet,48,0,1,0,1,0
1699.86,Wire,4,Austria,Tablet,20,1,0,1,0,1
98914.21,Card,22,Netherlands,Tablet,61,0,0,1,0,0
57422.07,SEPA,7,Austria,Desktop,94,0,1,1,0,1
37434.84,Card,3,Belgium,Mobile,87,0,0,0,1,0
37690.54,Card,22,Belgium,Tablet,30,1,1,0,1,1
33274.74,Card,18,Spain,Desktop,98,1,0,1,0,1
97716.26,SEPA,8,Germany,Mobile,4,1,1,1,1,1
87781.0,Wire,15,Italy,Tablet,108,1,1,0,0,1
45009.33,SEPA,0,Austria,Desktop,87,1,0,1,0,1
136965.43,Wire,6,Belgium,Mobile,108,1,1,1,1,1
61626.98,Wire,5,Spain,Tablet,66,0,0,0,1,0
63960.98,Wire,4,Romania,Desktop,13,0,1,0,1,1
88805.84,Transfer,20,Romania,Mobile,88,0,0,1,1,0
2828.42,Transfer,16,Netherlands,Tablet,118,1,0,0,0,0
97793.63,Transfer,13,France,Desktop,38,1,1,1,0,1
56547.59,Card,14,Germany,Desktop,63,1,0,1,0,1
80860.87,Card,2,Austria,Tablet,108,1,0,1,1,1
100953.61,SEPA,4,Spain,Tablet,118,1,0,1,0,1
72036.56,SEPA,13,Poland,Desktop,5,1,1,1,0,1
39548.77,SEPA,21,Austria,Tablet,77,0,1,0,0,0
78544.57,Wire,1,Poland,Desktop,0,0,1,1,0,1
27170.44,Wire,19,Germany,Mobile,8,1,0,0,1,0
50608.55,SEPA,20,Italy,Desktop,105,1,1,0,1,1
85473.17,Wire,4,France,Desktop,111,1,1,0,1,1
119489.16,SEPA,4,Belgium,Desktop,36,1,0,0,1,1
50685.4,SEPA,14,Netherlands,Desktop,87,1,1,1,0,1
19447.41,Card,10,Netherlands,Mobile,45,0,0,1,0,0
3152.81,Transfer,23,Italy,Tablet,92,0,1,0,0,0
27943.88,SEPA,8,Poland,Desktop,64,0,1,1,0,0
2276.86,Wire,17,Romania,Mobile,76,1,0,1,0,0
23705.65,Transfer,0,Italy,Desktop,32,1,0,0,1,0
57433.84,Card,0,Austria,Mobile,55,0,1,0,1,1
137599.1,SEPA,9,Netherlands,Desktop,27,0,0,0,1,0
106682.73,Card,6,Italy,Desktop,51,1,0,0,1,0
1755.11,Card,2,Poland,Tablet,109,0,0,0,1,0
138144.69,Transfer,22,Belgium,Desktop,45,0,1,1,0,1
19535.83,Transfer,2,France,Desktop,98,0,0,0,1,0
102976.69,Wire,9,Austria,Tablet,30,0,1,0,0,0
32914.74,Card,12,Poland,Tablet,67,1,1,1,0,1
123720.06,Card,6,Netherlands,Desktop,60,0,0,1,1,0
71440.06,Card,2,Belgium,Mobile,67,0,0,1,0,1
83944.42,SEPA,8,Italy,Desktop,70,1,0,0,1,0
145173.41,Card,18,Austria,Tablet,86,1,0,0,0,0
147728.91,SEPA,19,France,Desktop,32,1,0,0,0,0
90372.63,Card,11,Poland,Mobile,91,0,0,1,0,0
97890.15,Wire,7,Austria,Mobile,66,0,1,1,1,1
22681.34,Wire,7,Romania,Desktop,24,0,1,0,0,0
131893.67,Card,20,France,Desktop,69,0,0,0,0,0
47686.96,Card,15,Germany,Tablet,107,0,1,1,0,1
132593.7,SEPA,5,Romania,Desktop,59,0,0,1,1,1
87100.1,Card,15,Poland,Tablet,62,1,1,1,0,1
58962.3,Transfer,10,Netherlands,Desktop,98,0,1,1,0,1
38978.65,SEPA,0,France,Mobile,6,1,1,0,0,1
104800.47,SEPA,22,Germany,Tablet,17,1,1,0,1,1
47321.89,Card,8,Germany,Desktop,83,1,0,1,1,1
25968.26,Wire,15,Spain,Mobile,84,0,0,0,1,0
127223.58,SEPA,14,Belgium,Mobile,42,1,1,1,0,1
40758.15,Card,7,Germany,Tablet,92,1,0,0,1,0
91567.25,Transfer,3,Belgium,Desktop,36,1,0,1,0,1
53743.46,Card,18,Belgium,Mobile,83,0,0,0,1,0
51725.26,Transfer,17,Italy,Mobile,97,0,1,1,0,1
59384.3,Transfer,12,Romania,Mobile,38,0,0,0,0,0
58140.97,Card,16,Spain,Mobile,104,0,0,0,1,0
64354.41,SEPA,4,Poland,Tablet,74,0,0,0,0,0
19852.59,Wire,5,Poland,Tablet,8,0,1,0,1,0
70996.48,Transfer,4,Romania,Tablet,0,0,0,1,0,1
127117.29,Card,14,Romania,Tablet,77,0,1,1,1,1
41535.11,Wire,22,Austria,Tablet,114,0,1,0,0,0
61647.42,SEPA,5,Germany,Desktop,18,1,1,1,1,1
102970.29,Wire,9,Netherlands,Tablet,50,0,1,0,1,0
127389.91,Card,3,Poland,Mobile,114,1,1,0,0,1
65646.73,Transfer,9,France,Tablet,56,1,0,1,0,1
105821.89,Transfer,14,France,Desktop,51,1,1,0,1,1
57470.64,Wire,15,Austria,Desktop,110,0,0,1,1,0
135635.2,Transfer,16,France,Desktop,95,1,0,0,1,0
70827.93,Wire,20,Austria,Tablet,104,0,1,0,1,0
138642.43,Transfer,22,Spain,Mobile,65,1,1,1,0,1
138010.51,Transfer,18,Poland,Tablet,13,1,1,1,1,1
27607.14,Transfer,15,Belgium,Desktop,119,1,0,0,1,0
97646.48,Wire,13,Spain,Desktop,8,0,0,0,1,0
77025.49,Card,21,Germany,Tablet,72,0,0,0,1,0
73607.31,Card,0,France,Mobile,32,0,1,1,1,1
15142.9,Wire,13,Netherlands,Desktop,116,1,0,1,1,0
31316.14,Card,8,Poland,Desktop,47,0,1,1,0,1
8264.21,Wire,21,Germany,Desktop,22,1,1,1,0,1
66415.45,Card,12,Netherlands,Desktop,96,0,1,1,0,1
44427.32,SEPA,7,Romania,Tablet,46,0,0,1,1,0
92415.79,Transfer,10,France,Tablet,105,0,0,1,1,0
12904.94,SEPA,13,Belgium,Mobile,83,0,0,1,1,0
34968.07,Transfer,7,Poland,Tablet,69,0,1,1,1,1
81680.23,SEPA,15,Netherlands,Mobile,24,0,0,0,1,0
126204.75,Wire,18,Netherlands,Tablet,63,1,1,1,1,1
115034.78,SEPA,15,Italy,Mobile,36,0,1,0,0,0
124480.68,Transfer,20,Romania,Desktop,15,1,0,0,0,0
124169.7,SEPA,17,France,Tablet,58,0,1,0,0,0
42136.18,Card,18,Poland,Desktop,11,0,1,1,0,1
21274.23,Wire,5,Spain,Mobile,75,1,1,1,1,1
11146.48,Transfer,6,Italy,Tablet,11,0,0,1,1,0
3111.6,SEPA,4,Austria,Desktop,118,0,0,1,1,0
126624.08,Transfer,3,France,Desktop,111,1,1,0,0,1
9041.41,Card,3,Italy,Desktop,86,1,0,1,1,1
33896.21,Transfer,14,Austria,Desktop,77,1,1,1,1,1
25713.27,SEPA,1,Netherlands,Tablet,2,1,1,0,1,1
40288.38,Card,11,Italy,Desktop,37,0,0,0,1,0
106747.46,Wire,14,Austria,Desktop,99,1,1,0,1,1
143396.0,SEPA,1,Netherlands,Desktop,14,1,0,1,1,1
8187.56,Card,17,Netherlands,Desktop,55,1,1,1,1,1
16890.11,Transfer,9,France,Mobile,83,0,0,1,1,0
77306.51,Card,18,France,Mobile,99,0,0,0,1,0
96037.46,SEPA,15,France,Desktop,80,1,1,0,0,1
36438.01,SEPA,20,Poland,Desktop,107,1,0,0,1,0
15728.72,Transfer,15,Belgium,Tablet,118,1,1,0,0,0
106936.58,Wire,20,Poland,Tablet,89,1,1,0,1,1
59762.35,SEPA,19,Italy,Tablet,81,0,0,1,1,0
144162.02,Wire,3,France,Tablet,40,1,0,1,0,1
79257.06,Card,16,France,Desktop,60,0,0,1,0,0
77608.46,Transfer,16,Germany,Tablet,85,0,0,0,1,0
101053.9,Card,21,France,Desktop,14,1,0,1,0,1
54072.61,Wire,6,Italy,Tablet,94,1,0,1,0,1
84864.12,Transfer,16,Netherlands,Tablet,46,1,0,0,0,0
99684.64,Transfer,15,Netherlands,Tablet,47,0,1,1,1,1
3562.28,SEPA,9,Austria,Desktop,70,0,0,1,0,0
77363.06,SEPA,1,Poland,Desktop,69,0,1,1,1,1
72331.79,SEPA,3,Romania,Tablet,4,1,0,0,1,1
77225.55,Transfer,10,France,Mobile,36,1,0,1,1,1
149137.06,Transfer,17,Poland,Tablet,16,1,1,0,0,1
105481.63,Card,4,France,Desktop,88,0,1,0,0,1
40860.42,Wire,16,Netherlands,Mobile,69,0,0,0,1,0
147121.76,Wire,17,Netherlands,Desktop,17,0,1,0,0,0
107452.85,Card,21,Spain,Tablet,45,1,1,1,1,1
77996.38,SEPA,9,Spain,Tablet,77,0,0,0,0,0
37280.91,Transfer,2,Austria,Mobile,10,0,1,0,0,1
68179.65,Card,12,Romania,Mobile,66,0,1,1,1,1
89185.94,Card,23,France,Desktop,89,0,0,1,0,0
143147.42,Card,2,Austria,Tablet,115,0,1,0,0,1
114892.58,Wire,19,Netherlands,Tablet,10,1,1,1,0,1
52067.65,Card,4,Netherlands,Mobile,13,1,1,1,0,1
56334.76,Card,17,Spain,Mobile,98,1,0,0,0,0
125991.12,SEPA,2,Spain,Tablet,61,1,1,1,0,1
53588.16,SEPA,17,France,Tablet,76,0,0,1,1,0
24329.09,Card,21,Belgium,Mobile,79,1,0,0,0,0
73909.46,Wire,16,Italy,Desktop,53,1,0,0,0,0
1427.62,Transfer,14,Poland,Tablet,12,0,1,1,1,0
75404.97,SEPA,11,Italy,Desktop,92,0,1,1,0,1
114808.25,SEPA,23,Romania,Mobile,96,1,1,0,0,1
96511.0,Card,9,Austria,Mobile,96,0,1,1,1,1
143341.12,SEPA,8,Romania,Mobile,117,1,0,0,0,0
59535.01,Card,7,France,Desktop,71,0,1,0,1,0
116070.24,Wire,16,Germany,Desktop,88,1,1,1,1,1
53999.2,Card,9,Italy,Mobile,94,0,1,0,0,0
88916.83,SEPA,5,Spain,Mobile,26,0,1,1,1,1
7021.78,Card,17,Austria,Tablet,47,0,1,0,1,0
25422.4,Card,13,Spain,Mobile,19,0,1,1,0,0
46747.17,SEPA,14,Austria,Mobile,36,0,1,0,0,0
139536.07,Card,17,Poland,Mobile,63,1,1,0,1,1
113112.4,Card,21,Romania,Mobile,12,1,0,0,1,0
141034.91,Transfer,3,Belgium,Mobile,26,0,0,0,0,0
142154.27,Card,2,Germany,Mobile,37,0,1,1,1,1
9679.63,Card,4,Spain,Mobile,112,1,1,0,1,1
76178.07,SEPA,17,Netherlands,Tablet,77,1,1,1,0,1
117760.13,Card,13,Belgium,Mobile,57,1,0,0,0,0
26278.37,Card,15,Italy,Desktop,54,1,1,0,1,0
109035.7,Transfer,23,Romania,Desktop,19,0,1,0,1,0
107983.99,SEPA,12,Poland,Mobile,67,1,0,1,0,1
113754.91,Wire,8,Austria,Desktop,63,0,0,1,0,0
73266.5,Card,0,Romania,Desktop,81,1,0,1,1,1
146650.81,Wire,22,Romania,Desktop,6,0,1,0,0,0
70475.21,Card,1,Austria,Tablet,102,1,1,0,0,1
19266.75,Transfer,7,Germany,Tablet,59,1,0,1,0,0
9889.54,SEPA,20,Belgium,Mobile,8,1,1,1,0,1
18836.87,Wire,10,Spain,Mobile,9,1,1,0,0,0
88827.87,Wire,19,Italy,Tablet,47,1,1,0,1,1
123592.5,SEPA,16,Austria,Desktop,34,1,0,1,0,1
86391.2,SEPA,20,Belgium,Tablet,65,1,0,0,0,0
66959.58,Wire,19,Italy,Tablet,32,0,1,0,1,0
20228.52,SEPA,14,Italy,Desktop,31,0,1,0,1,0
121726.51,Transfer,3,Romania,Tablet,14,1,0,1,0,1
147305.52,Wire,18,Italy,Tablet,110,1,1,0,0,1
61493.65,Card,15,Austria,Mobile,94,1,1,1,1,1
135256.18,Card,15,Poland,Tablet,109,1,0,1,0,1
38881.73,Transfer,17,Romania,Desktop,30,0,0,0,1,0
41792.56,Transfer,3,Italy,Tablet,9,1,1,0,1,1
54551.81,Wire,8,Spain,Mobile,0,1,0,1,1,1
104254.34,Transfer,10,Germany,Tablet,112,0,0,1,1,0
4749.63,SEPA,0,Netherlands,Desktop,114,0,1,1,1,1
49540.38,Card,1,Netherlands,Mobile,107,1,1,0,0,1
122140.22,Wire,0,Italy,Desktop,73,0,1,0,1,1
3167.34,Card,19,Spain,Tablet,102,0,0,0,0,0
125814.82,Wire,15,Belgium,Mobile,29,0,0,1,0,0
106234.56,Transfer,18,Spain,Mobile,48,1,1,0,1,1
64358.6,Transfer,15,Netherlands,Tablet,11,0,1,1,1,1
74520.35,Wire,18,France,Mobile,110,0,1,1,1,1
45319.62,Card,3,Poland,Mobile,55,0,0,1,0,1
37028.12,SEPA,7,Belgium,Tablet,85,1,1,1,1,1
131862.55,Card,16,Poland,Tablet,36,1,0,0,1,0
111439.69,Transfer,17,Belgium,Tablet,103,1,0,1,0,1
2157.13,Wire,9,Romania,Desktop,22,0,0,1,0,0
48415.96,Wire,6,Spain,Tablet,66,1,1,0,1,1
12565.7,Transfer,6,Poland,Tablet,84,1,0,0,1,0
129362.33,Wire,13,Romania,Tablet,104,1,0,1,1,1
113847.68,Transfer,13,Spain,Desktop,28,0,1,0,0,0
133808.52,Transfer,8,Poland,Mobile,3,0,0,0,1,0
41970.76,Card,6,Romania,Tablet,87,1,1,0,0,1
77274.35,Transfer,0,France,Mobile,82,0,1,0,1,1
71249.41,Wire,8,Germany,Mobile,33,0,1,0,0,0
31918.12,SEPA,2,France,Tablet,101,1,0,0,1,1
1462.62,Card,14,Belgium,Tablet,0,0,0,1,0,0
69616.21,SEPA,0,Spain,Mobile,35,1,1,1,1,1
86112.66,Transfer,15,Poland,Mobile,15,1,1,0,1,1
56322.52,SEPA,0,Romania,Tablet,79,1,0,1,1,1
120696.09,Transfer,18,Netherlands,Tablet,118,1,1,0,1,1
99206.74,Transfer,16,France,Desktop,42,1,1,0,1,1
121041.62,SEPA,7,Spain,Desktop,97,0,0,1,0,0
110078.43,SEPA,5,Poland,Desktop,64,0,0,0,1,0
43587.26,Card,12,France,Tablet,74,1,1,0,0,1
110178.13,SEPA,0,France,Mobile,15,0,1,0,1,1
37625.12,Wire,11,Austria,Desktop,113,1,0,0,1,0
73096.02,Wire,2,Italy,Mobile,74,0,0,0,0,0
44492.07,Transfer,13,Austria,Desktop,101,1,1,0,0,1
15587.82,Wire,16,Netherlands,Mobile,17,0,1,0,1,0
98556.97,Transfer,11,France,Desktop,40,0,1,0,0,0
86930.67,SEPA,21,Belgium,Desktop,104,0,1,1,0,1
19931.0,Transfer,1,Spain,Mobile,55,0,1,1,1,1
61079.97,SEPA,16,Netherlands,Desktop,116,1,0,0,1,0
57090.18,Transfer,9,Austria,Tablet,31,0,1,0,0,0
2143.58,Transfer,7,Belgium,Mobile,17,0,0,1,0,0
4994.6,Wire,5,Poland,Mobile,53,1,1,1,1,1
21229.11,Card,10,Romania,Mobile,105,0,0,0,1,0
121439.91,Transfer,14,Netherlands,Tablet,118,0,0,1,0,0
139776.36,Transfer,23,France,Tablet,77,1,0,1,1,1
59318.23,Wire,16,Netherlands,Desktop,48,0,1,1,0,1
133925.92,Card,6,Poland,Tablet,61,0,1,1,0,1
9876.14,Wire,19,Spain,Mobile,1,1,0,1,0,0
48013.89,SEPA,22,Romania,Tablet,26,0,0,0,0,0
124180.13,Wire,18,Romania,Tablet,94,0,1,0,0,0
63103.13,Card,10,Italy,Tablet,25,1,0,0,0,0
11733.28,SEPA,9,France,Desktop,42,0,0,0,1,0
38929.0,SEPA,21,Spain,Desktop,107,1,0,1,1,1
143220.84,Card,18,France,Tablet,9,1,1,1,0,1
82408.09,Transfer,12,Belgium,Tablet,118,0,0,0,1,0
37934.36,Card,13,Belgium,Desktop,48,1,1,0,1,1
48058.59,Card,19,Belgium,Desktop,84,1,0,1,1,1
55271.98,Wire,5,Italy,Mobile,45,0,0,1,0,1
85735.2,Card,12,Poland,Desktop,21,0,0,0,1,0
146229.37,SEPA,23,Spain,Tablet,96,1,1,1,0,1
69682.67,SEPA,21,Italy,Mobile,52,0,0,1,1,0
95240.81,Transfer,4,Spain,Mobile,66,1,0,0,0,1
19525.96,Card,7,Austria,Mobile,119,0,0,1,0,0
73799.53,SEPA,2,Romania,Desktop,96,1,0,1,1,1
37525.06,Wire,6,Austria,Tablet,74,0,0,1,1,0
109007.86,Wire,21,Netherlands,Tablet,77,1,0,1,1,1
138061.17,Wire,13,Spain,Mobile,80,1,1,0,1,1
44655.3,Transfer,3,Germany,Mobile,80,1,1,1,1,1
84887.36,Card,5,Netherlands,Desktop,91,1,1,0,1,1
73700.5,Wire,8,Poland,Mobile,88,0,1,0,1,0
148693.6,Wire,12,Germany,Mobile,41,0,1,1,1,1
94328.5,SEPA,0,Italy,Desktop,3,0,1,1,0,1
60306.38,Wire,7,Netherlands,Tablet,57,0,0,1,0,0
148021.78,Card,5,Romania,Mobile,118,1,0,1,0,1
106651.59,SEPA,5,Belgium,Desktop,21,0,0,1,0,1
98502.54,Wire,21,Belgium,Tablet,50,1,0,0,0,0
7924.78,SEPA,18,Germany,Mobile,120,1,0,1,0,0
103476.74,Transfer,19,Netherlands,Tablet,54,0,1,1,1,1
86565.92,Card,15,France,Desktop,90,1,1,0,0,1
69139.65,Transfer,10,Romania,Desktop,10,0,0,0,1,0
146921.79,Transfer,8,Spain,Mobile,112,0,0,0,0,0
91833.67,Transfer,0,Romania,Mobile,97,0,1,0,0,1
139473.9,Card,18,Romania,Desktop,120,0,1,0,0,0
82221.31,SEPA,5,Netherlands,Desktop,8,0,1,0,1,1
146715.22,Wire,23,Poland,Mobile,24,0,0,1,1,0
132763.61,SEPA,7,Italy,Tablet,40,1,1,0,0,1
51432.2,Transfer,22,Belgium,Mobile,62,0,1,1,1,1
57390.44,SEPA,19,Poland,Mobile,28,1,1,0,0,1
3250.51,Card,9,Romania,Tablet,55,1,0,1,0,0
146126.73,Card,21,Spain,Mobile,82,1,1,1,0,1
59803.85,Card,9,Belgium,Mobile,62,0,1,1,0,1
29971.66,Card,15,Spain,Desktop,28,1,1,0,0,0
64919.7,Wire,0,Belgium,Mobile,82,0,1,0,1,1
55021.54,Wire,8,Germany,Desktop,78,1,1,0,1,1
84849.33,SEPA,17,Spain,Desktop,75,1,1,1,0,1
19437.15,Wire,8,Romania,Tablet,55,1,1,1,1,1
80091.56,Card,18,Netherlands,Mobile,71,0,0,1,1,0
98676.91,SEPA,2,Germany,Mobile,106,0,1,0,1,1
131960.63,Wire,4,Spain,Desktop,75,0,1,0,0,1
136931.58,Transfer,18,Romania,Desktop,93,0,0,0,1,0
43816.99,Card,17,Netherlands,Tablet,45,0,1,0,0,0
84172.24,Card,3,Germany,Tablet,6,1,0,1,0,1
3153.16,Transfer,18,Germany,Mobile,48,0,0,1,1,0
144476.72,Card,12,Romania,Desktop,20,1,0,0,0,0
135886.88,Card,13,Germany,Desktop,88,1,0,1,0,1
106382.19,SEPA,14,Poland,Mobile,84,0,0,1,1,0
10729.15,Wire,16,Spain,Tablet,42,0,0,1,0,0
91467.38,Card,8,Italy,Tablet,24,0,0,1,0,0
98697.36,Card,8,Belgium,Mobile,55,1,1,1,0,1
42322.21,Card,19,Belgium,Tablet,105,0,1,0,0,0
145418.47,Transfer,18,Belgium,Desktop,92,1,0,0,0,0
122643.01,SEPA,23,Romania,Tablet,115,0,1,0,1,0
130379.53,Card,13,Belgium,Tablet,111,1,0,1,0,1
104398.05,SEPA,7,France,Tablet,44,1,0,1,0,1
119793.23,Card,11,France,Tablet,105,1,0,1,1,1
145312.46,Wire,0,Spain,Desktop,104,1,0,0,0,1
